season_id,team_id,w,l,playoffs
22021,1610612737,43,39,TRUE
22021,1610612738,51,31,TRUE
22021,1610612751,44,38,TRUE
22021,1610612741,46,36,TRUE
22021,1610612766,43,39,FALSE
22021,1610612739,44,38,FALSE
22021,1610612742,52,30,TRUE
22021,1610612743,48,34,TRUE
22021,1610612765,23,59,FALSE
22021,1610612744,53,29,TRUE
22021,1610612745,20,62,FALSE
22021,1610612754,25,57,FALSE
22021,1610612746,42,40,FALSE
22021,1610612747,33,49,FALSE
22021,1610612763,56,26,TRUE
22021,1610612748,53,29,TRUE
22021,1610612749,51,31,TRUE
22021,1610612750,46,36,TRUE
22021,1610612740,36,46,TRUE
22021,1610612752,37,45,FALSE
22021,1610612760,24,58,FALSE
22021,1610612753,22,60,FALSE
22021,1610612755,51,31,TRUE
22021,1610612756,64,18,TRUE
22021,1610612757,27,55,FALSE
22021,1610612758,30,52,FALSE
22021,1610612759,34,48,FALSE
22021,1610612761,48,34,TRUE
22021,1610612762,49,33,TRUE
22021,1610612764,35,47,FALSE
22020,1610612737,41,31,TRUE
22020,1610612738,36,36,TRUE
22020,1610612751,48,24,TRUE
22020,1610612741,31,41,FALSE
22020,1610612766,33,39,FALSE
22020,1610612739,22,50,FALSE
22020,1610612742,42,30,TRUE
22020,1610612743,47,25,TRUE
22020,1610612765,20,52,FALSE
22020,1610612744,39,33,FALSE
22020,1610612745,17,55,FALSE
22020,1610612754,34,38,FALSE
22020,1610612746,47,25,TRUE
22020,1610612747,42,30,TRUE
22020,1610612763,38,34,TRUE
22020,1610612748,40,32,TRUE
22020,1610612749,46,26,TRUE
22020,1610612750,23,49,FALSE
22020,1610612740,31,41,FALSE
22020,1610612752,41,31,TRUE
22020,1610612760,22,50,FALSE
22020,1610612753,21,51,FALSE
22020,1610612755,49,23,TRUE
22020,1610612756,51,21,TRUE
22020,1610612757,42,30,TRUE
22020,1610612758,31,41,FALSE
22020,1610612759,33,39,FALSE
22020,1610612761,27,45,FALSE
22020,1610612762,52,20,TRUE
22020,1610612764,34,38,TRUE
22019,1610612737,20,47,FALSE
22019,1610612738,48,24,TRUE
22019,1610612751,35,37,TRUE
22019,1610612741,22,43,FALSE
22019,1610612766,23,42,FALSE
22019,1610612739,19,46,FALSE
22019,1610612742,43,32,TRUE
22019,1610612743,46,27,TRUE
22019,1610612765,20,46,FALSE
22019,1610612744,15,50,FALSE
22019,1610612745,44,28,TRUE
22019,1610612754,45,28,TRUE
22019,1610612746,49,23,TRUE
22019,1610612747,52,19,TRUE
22019,1610612763,34,39,FALSE
22019,1610612748,44,29,TRUE
22019,1610612749,56,17,TRUE
22019,1610612750,19,45,FALSE
22019,1610612740,30,42,FALSE
22019,1610612752,21,45,FALSE
22019,1610612760,44,28,TRUE
22019,1610612753,33,40,TRUE
22019,1610612755,43,30,TRUE
22019,1610612756,34,39,FALSE
22019,1610612757,35,39,TRUE
22019,1610612758,31,41,FALSE
22019,1610612759,32,39,FALSE
22019,1610612761,53,19,TRUE
22019,1610612762,44,28,TRUE
22019,1610612764,25,47,FALSE
22018,1610612737,29,53,FALSE
22018,1610612738,49,33,TRUE
22018,1610612751,42,40,TRUE
22018,1610612741,22,60,FALSE
22018,1610612766,39,43,FALSE
22018,1610612739,19,63,FALSE
22018,1610612742,33,49,FALSE
22018,1610612743,54,28,TRUE
22018,1610612765,41,41,TRUE
22018,1610612744,57,25,TRUE
22018,1610612745,53,29,TRUE
22018,1610612754,48,34,TRUE
22018,1610612746,48,34,TRUE
22018,1610612747,37,45,FALSE
22018,1610612763,33,49,FALSE
22018,1610612748,39,43,FALSE
22018,1610612749,60,22,TRUE
22018,1610612750,36,46,FALSE
22018,1610612740,33,49,FALSE
22018,1610612752,17,65,FALSE
22018,1610612760,49,33,TRUE
22018,1610612753,42,40,TRUE
22018,1610612755,51,31,TRUE
22018,1610612756,19,63,FALSE
22018,1610612757,53,29,TRUE
22018,1610612758,39,43,FALSE
22018,1610612759,48,34,TRUE
22018,1610612761,58,24,TRUE
22018,1610612762,50,32,TRUE
22018,1610612764,32,50,FALSE
22017,1610612737,24,58,FALSE
22017,1610612738,55,27,TRUE
22017,1610612751,28,54,FALSE
22017,1610612741,27,55,FALSE
22017,1610612766,36,46,FALSE
22017,1610612739,50,32,TRUE
22017,1610612742,24,58,FALSE
22017,1610612743,46,36,FALSE
22017,1610612765,39,43,FALSE
22017,1610612744,58,24,TRUE
22017,1610612745,65,17,TRUE
22017,1610612754,48,34,TRUE
22017,1610612746,42,40,FALSE
22017,1610612747,35,47,FALSE
22017,1610612763,22,60,FALSE
22017,1610612748,44,38,TRUE
22017,1610612749,44,38,TRUE
22017,1610612750,47,35,TRUE
22017,1610612740,48,34,TRUE
22017,1610612752,29,53,FALSE
22017,1610612760,48,34,TRUE
22017,1610612753,25,57,FALSE
22017,1610612755,52,30,TRUE
22017,1610612756,21,61,FALSE
22017,1610612757,49,33,TRUE
22017,1610612758,27,55,FALSE
22017,1610612759,47,35,TRUE
22017,1610612761,59,23,TRUE
22017,1610612762,48,34,TRUE
22017,1610612764,43,39,TRUE
22016,1610612737,43,39,TRUE
22016,1610612738,53,29,TRUE
22016,1610612751,20,62,FALSE
22016,1610612741,41,41,TRUE
22016,1610612766,36,46,FALSE
22016,1610612739,51,31,TRUE
22016,1610612742,33,49,FALSE
22016,1610612743,40,42,FALSE
22016,1610612765,37,45,FALSE
22016,1610612744,67,15,TRUE
22016,1610612745,55,27,TRUE
22016,1610612754,42,40,TRUE
22016,1610612746,51,31,TRUE
22016,1610612747,26,56,FALSE
22016,1610612763,43,39,TRUE
22016,1610612748,41,41,FALSE
22016,1610612749,42,40,TRUE
22016,1610612750,31,51,FALSE
22016,1610612740,34,48,FALSE
22016,1610612752,31,51,FALSE
22016,1610612760,47,35,TRUE
22016,1610612753,29,53,FALSE
22016,1610612755,28,54,FALSE
22016,1610612756,24,58,FALSE
22016,1610612757,41,41,TRUE
22016,1610612758,32,50,FALSE
22016,1610612759,61,21,TRUE
22016,1610612761,51,31,TRUE
22016,1610612762,51,31,TRUE
22016,1610612764,49,33,TRUE
22015,1610612737,48,34,TRUE
22015,1610612738,48,34,TRUE
22015,1610612751,21,61,FALSE
22015,1610612741,42,40,FALSE
22015,1610612766,48,34,TRUE
22015,1610612739,57,25,TRUE
22015,1610612742,42,40,TRUE
22015,1610612743,33,49,FALSE
22015,1610612765,44,38,TRUE
22015,1610612744,73,9,TRUE
22015,1610612745,41,41,TRUE
22015,1610612754,45,37,TRUE
22015,1610612746,53,29,TRUE
22015,1610612747,17,65,FALSE
22015,1610612763,42,40,TRUE
22015,1610612748,48,34,TRUE
22015,1610612749,33,49,FALSE
22015,1610612750,29,53,FALSE
22015,1610612740,30,52,FALSE
22015,1610612752,32,50,FALSE
22015,1610612760,55,27,TRUE
22015,1610612753,35,47,FALSE
22015,1610612755,10,72,FALSE
22015,1610612756,23,59,FALSE
22015,1610612757,44,38,TRUE
22015,1610612758,33,49,FALSE
22015,1610612759,67,15,TRUE
22015,1610612761,56,26,TRUE
22015,1610612762,40,42,FALSE
22015,1610612764,41,41,FALSE
22014,1610612737,60,22,TRUE
22014,1610612738,40,42,TRUE
22014,1610612751,38,44,TRUE
22014,1610612741,50,32,TRUE
22014,1610612766,33,49,FALSE
22014,1610612739,53,29,TRUE
22014,1610612742,50,32,TRUE
22014,1610612743,30,52,FALSE
22014,1610612765,32,50,FALSE
22014,1610612744,67,15,TRUE
22014,1610612745,56,26,TRUE
22014,1610612754,38,44,FALSE
22014,1610612746,56,26,TRUE
22014,1610612747,21,61,FALSE
22014,1610612763,55,27,TRUE
22014,1610612748,37,45,FALSE
22014,1610612749,41,41,TRUE
22014,1610612750,16,66,FALSE
22014,1610612740,45,37,TRUE
22014,1610612752,17,65,FALSE
22014,1610612760,45,37,FALSE
22014,1610612753,25,57,FALSE
22014,1610612755,18,64,FALSE
22014,1610612756,39,43,FALSE
22014,1610612757,51,31,TRUE
22014,1610612758,29,53,FALSE
22014,1610612759,55,27,TRUE
22014,1610612761,49,33,TRUE
22014,1610612762,38,44,FALSE
22014,1610612764,46,36,TRUE
22013,1610612737,38,44,TRUE
22013,1610612738,25,57,FALSE
22013,1610612751,44,38,TRUE
22013,1610612741,43,39,TRUE
22013,1610612766,48,34,TRUE
22013,1610612739,33,49,FALSE
22013,1610612742,49,33,TRUE
22013,1610612743,36,46,FALSE
22013,1610612765,29,53,FALSE
22013,1610612744,51,31,TRUE
22013,1610612745,54,28,TRUE
22013,1610612754,56,26,TRUE
22013,1610612746,57,25,TRUE
22013,1610612747,27,55,FALSE
22013,1610612763,50,32,TRUE
22013,1610612748,54,28,TRUE
22013,1610612749,15,67,FALSE
22013,1610612750,40,42,FALSE
22013,1610612740,34,48,FALSE
22013,1610612752,37,45,FALSE
22013,1610612760,59,23,TRUE
22013,1610612753,23,59,FALSE
22013,1610612755,19,63,FALSE
22013,1610612756,48,34,FALSE
22013,1610612757,54,28,TRUE
22013,1610612758,28,54,FALSE
22013,1610612759,62,20,TRUE
22013,1610612761,48,34,TRUE
22013,1610612762,25,57,FALSE
22013,1610612764,44,38,TRUE
22012,1610612737,44,38,TRUE
22012,1610612738,41,40,TRUE
22012,1610612751,49,33,TRUE
22012,1610612741,21,61,FALSE
22012,1610612766,45,37,TRUE
22012,1610612739,24,58,FALSE
22012,1610612742,41,41,FALSE
22012,1610612743,57,25,TRUE
22012,1610612765,29,53,FALSE
22012,1610612744,47,35,TRUE
22012,1610612745,45,37,TRUE
22012,1610612754,49,32,TRUE
22012,1610612746,56,26,TRUE
22012,1610612747,45,37,TRUE
22012,1610612763,56,26,TRUE
22012,1610612748,66,16,TRUE
22012,1610612749,38,44,TRUE
22012,1610612750,31,51,FALSE
22012,1610612740,27,55,FALSE
22012,1610612752,54,28,TRUE
22012,1610612760,60,22,TRUE
22012,1610612753,20,62,FALSE
22012,1610612755,34,48,FALSE
22012,1610612756,25,57,FALSE
22012,1610612757,33,49,FALSE
22012,1610612758,28,54,FALSE
22012,1610612759,58,24,TRUE
22012,1610612761,34,48,FALSE
22012,1610612762,43,39,FALSE
22012,1610612764,29,53,FALSE
